[1] "############# New Run #################"

 Number of Raw Subjects: 87 

                     sn  pCorrect       mRT       sdRT        cv
1  501129_220215_210640 0.9875000  561.0792  287.83277 0.5129985
2  501129_220216_184810 0.9812500  526.4083  192.42319 0.3655398
3  501129_220217_225635 0.9770833  500.1500  156.54764 0.3130014
4  501129_220218_185444 0.9645833  429.6792  145.13166 0.3377675
5  501129_220220_220100 0.9937500  561.8625  139.11029 0.2475878
6  501129_220221_060201 0.9645833  429.1542  135.19003 0.3150151
7  501129_220224_004022 0.9854167  540.5208  144.23500 0.2668445
8  501129_220224_191356 0.9875000  530.9083  124.48587 0.2344771
9  501129_220224_195934 0.9875000  510.8000  127.29286 0.2492029
10 501129_220227_023819 0.9833333  577.4521  147.08883 0.2547204
11 501129_220227_232757 0.9520833  471.2625  155.66780 0.3303208
12 501129_220228_172131 0.9625000  456.2333  198.27980 0.4346017
13 501129_220301_193917 0.9729167  533.7854  153.28583 0.2871675
14 501129_220303_061829 0.9854167  615.7458  458.88983 0.7452585
15 501129_220303_223121 0.9645833  612.3188  455.63440 0.7441131
16 501129_220305_193732 0.9354167  677.6292  487.94710 0.7200798
17 501129_220307_195157 0.9250000  520.5792  188.37454 0.3618557
18 501129_220310_181539 0.9833333  777.1771  610.75437 0.7858626
19 501129_220312_210303 0.9458333  747.2854  531.29096 0.7109612
20 501129_220313_231500 0.9500000  444.1875  137.28874 0.3090784
21 501129_220314_173435 0.9750000  576.9542  383.02512 0.6638744
22 501129_220315_233100 0.9645833  538.8500  202.26113 0.3753570
23 501129_220316_193144 0.8770833  479.1083  224.31977 0.4682026
24 501129_220318_210003 0.9666667  509.9792  225.08251 0.4413563
25 817031_220215_205524 0.9375000  424.2271   89.38729 0.2107062
26 817031_220216_184632 0.9104167 1196.6417 3478.67819 2.9070342
27 817031_220216_220240 0.9625000  643.9833  331.05642 0.5140761
28 817031_220219_214540 0.9854167  584.7687  208.02143 0.3557328
29 817031_220221_052655 0.9500000  631.2687 2298.57698 3.6412019
30 817031_220221_231428 0.9625000  408.9646   78.14245 0.1910739
31 817031_220223_043324 0.9437500  475.0646  115.86371 0.2438904
32 817031_220224_180312 0.9375000  536.9438  199.08007 0.3707652
33 817031_220224_213710 0.9833333  494.6458   75.00867 0.1516412
34 817031_220227_200548 0.9187500  428.9021   94.17596 0.2195745
35 817031_220302_004602 0.9875000  618.8479  157.18368 0.2539940
36 817031_220303_213702 0.9645833  804.2188  589.80948 0.7333943
37 817031_220303_220444 0.9416667  472.5208  137.46611 0.2909207
38 817031_220304_024813 0.9770833  505.2021  187.48174 0.3711025
39 817031_220307_001559 0.9437500  474.6146   79.99475 0.1685468
